player_name,position,Age,market_value_eur,club,season
Diant Ramaj,Goalkeeper,24.0,7000000.0,1 Fc Heidenheim 1846,2526
Frank Feller,Goalkeeper,22.0,800000.0,1 Fc Heidenheim 1846,2526
Paul Tschernuth,Goalkeeper,24.0,100000.0,1 Fc Heidenheim 1846,2526
Patrick Mainka,Centre-Back,31.0,2500000.0,1 Fc Heidenheim 1846,2526
Tim Siersleben,Centre-Back,26.0,1800000.0,1 Fc Heidenheim 1846,2526
Benedikt Gimber,Centre-Back,29.0,1500000.0,1 Fc Heidenheim 1846,2526
Adam Kölle,Centre-Back,20.0,1000000.0,1 Fc Heidenheim 1846,2526
Hennes Behrens,Left-Back,21.0,5000000.0,1 Fc Heidenheim 1846,2526
Jonas Föhrenbach,Left-Back,30.0,1000000.0,1 Fc Heidenheim 1846,2526
Leart Paçarada,Left-Back,31.0,800000.0,1 Fc Heidenheim 1846,2526
Leonidas Stergiou,Right-Back,24.0,2500000.0,1 Fc Heidenheim 1846,2526
Omar Traoré,Right-Back,28.0,2000000.0,1 Fc Heidenheim 1846,2526
Marnon Busch,Right-Back,31.0,1000000.0,1 Fc Heidenheim 1846,2526
Niklas Dorsch,Defensive Midfield,28.0,2500000.0,1 Fc Heidenheim 1846,2526
Julian Niehues,Defensive Midfield,25.0,1500000.0,1 Fc Heidenheim 1846,2526
Jan Schöppner,Central Midfield,27.0,3000000.0,1 Fc Heidenheim 1846,2526
Luca Kerber,Central Midfield,24.0,2000000.0,1 Fc Heidenheim 1846,2526
Nick Rothweiler,Central Midfield,20.0,250000.0,1 Fc Heidenheim 1846,2526
Arijon Ibrahimovic,Attacking Midfield,20.0,10000000.0,1 Fc Heidenheim 1846,2526
Adrian Beck,Attacking Midfield,29.0,1500000.0,1 Fc Heidenheim 1846,2526
Mathias Honsak,Left Winger,29.0,1700000.0,1 Fc Heidenheim 1846,2526
Yannik Wagner,Left Winger,19.0,800000.0,1 Fc Heidenheim 1846,2526
Eren Dinkçi,Right Winger,24.0,6000000.0,1 Fc Heidenheim 1846,2526
Christian Conteh,Right Winger,26.0,1500000.0,1 Fc Heidenheim 1846,2526
Sirlord Conteh,Right Winger,29.0,1200000.0,1 Fc Heidenheim 1846,2526
Marvin Pieringer,Centre-Forward,26.0,3000000.0,1 Fc Heidenheim 1846,2526
Mikkel Kaufmann,Centre-Forward,25.0,1500000.0,1 Fc Heidenheim 1846,2526
Budu Zivzivadze,Centre-Forward,32.0,1200000.0,1 Fc Heidenheim 1846,2526
Stefan Schimmer,Centre-Forward,32.0,300000.0,1 Fc Heidenheim 1846,2526
Marvin Schwäbe,Goalkeeper,31.0,3000000.0,1 Fc Koln,2526
Ron-Robert Zieler,Goalkeeper,37.0,500000.0,1 Fc Koln,2526
Matthias Köbbing,Goalkeeper,29.0,100000.0,1 Fc Koln,2526
Jahmai Simpson-Pusey,Centre-Back,20.0,9000000.0,1 Fc Koln,2526
Rav van den Berg,Centre-Back,21.0,7000000.0,1 Fc Koln,2526
Cenk Özkacar,Centre-Back,25.0,4000000.0,1 Fc Koln,2526
Joël Schmied,Centre-Back,27.0,3000000.0,1 Fc Koln,2526
Timo Hübers,Centre-Back,29.0,1500000.0,1 Fc Koln,2526
Dominique Heintz,Centre-Back,32.0,600000.0,1 Fc Koln,2526
Luca Kilian,Centre-Back,26.0,100000.0,1 Fc Koln,2526
Kristoffer Lund,Left-Back,24.0,4000000.0,1 Fc Koln,2526
Sebastian Sebulonsen,Right-Back,26.0,5500000.0,1 Fc Koln,2526
Eric Martel,Defensive Midfield,24.0,8000000.0,1 Fc Koln,2526
Tom Krauß,Defensive Midfield,25.0,4500000.0,1 Fc Koln,2526
Fayssal Harchaoui,Defensive Midfield,20.0,200000.0,1 Fc Koln,2526
Ísak Jóhannesson,Central Midfield,23.0,8000000.0,1 Fc Koln,2526
Felipe Chávez,Central Midfield,19.0,4000000.0,1 Fc Koln,2526
Denis Huseinbasic,Central Midfield,24.0,2000000.0,1 Fc Koln,2526
Alessio Castro-Montes,Right Midfield,29.0,2500000.0,1 Fc Koln,2526
Florian Kainz,Attacking Midfield,33.0,1000000.0,1 Fc Koln,2526
Said El Mala,Left Winger,19.0,45000000.0,1 Fc Koln,2526
Jakub Kaminski,Left Winger,24.0,17000000.0,1 Fc Koln,2526
Linton Maina,Left Winger,27.0,3000000.0,1 Fc Koln,2526
Marius Bülter,Left Winger,33.0,1800000.0,1 Fc Koln,2526
Jan Thielmann,Right Winger,24.0,5000000.0,1 Fc Koln,2526
Youssoupha Niang,Right Winger,20.0,2000000.0,1 Fc Koln,2526
Ragnar Ache,Centre-Forward,27.0,9000000.0,1 Fc Koln,2526
Luca Waldschmidt,Centre-Forward,30.0,2000000.0,1 Fc Koln,2526
Fynn Schenten,Centre-Forward,18.0,1000000.0,1 Fc Koln,2526
Malek El Mala,Centre-Forward,21.0,250000.0,1 Fc Koln,2526
Frederik Rönnow,Goalkeeper,33.0,2000000.0,1 Fc Union Berlin,2526
Matheo Raab,Goalkeeper,27.0,600000.0,1 Fc Union Berlin,2526
Carl Klaus,Goalkeeper,32.0,350000.0,1 Fc Union Berlin,2526
Leopold Querfeld,Centre-Back,22.0,20000000.0,1 Fc Union Berlin,2526
Danilho Doekhi,Centre-Back,27.0,13000000.0,1 Fc Union Berlin,2526
Diogo Leite,Centre-Back,27.0,12000000.0,1 Fc Union Berlin,2526
Stanley Nsoki,Centre-Back,27.0,2000000.0,1 Fc Union Berlin,2526
Tom Rothe,Left-Back,21.0,10000000.0,1 Fc Union Berlin,2526
Derrick Köhn,Left-Back,27.0,4000000.0,1 Fc Union Berlin,2526
Andrik Markgraf,Left-Back,20.0,300000.0,1 Fc Union Berlin,2526
Josip Juranovic,Right-Back,30.0,2000000.0,1 Fc Union Berlin,2526
Christopher Trimmel,Right-Back,39.0,600000.0,1 Fc Union Berlin,2526
Aljoscha Kemlein,Defensive Midfield,21.0,12000000.0,1 Fc Union Berlin,2526
Rani Khedira,Defensive Midfield,32.0,2000000.0,1 Fc Union Berlin,2526
András Schäfer,Central Midfield,27.0,4500000.0,1 Fc Union Berlin,2526
Alex Král,Central Midfield,28.0,2500000.0,1 Fc Union Berlin,2526
Janik Haberer,Central Midfield,32.0,2000000.0,1 Fc Union Berlin,2526
Robert Skov,Left Midfield,30.0,2000000.0,1 Fc Union Berlin,2526
Woo-yeong Jeong,Attacking Midfield,26.0,3500000.0,1 Fc Union Berlin,2526
Livan Burcu,Left Winger,21.0,4000000.0,1 Fc Union Berlin,2526
David Preu,Left Winger,21.0,400000.0,1 Fc Union Berlin,2526
Ilyas Ansah,Centre-Forward,21.0,12000000.0,1 Fc Union Berlin,2526
Andrej Ilic,Centre-Forward,26.0,9000000.0,1 Fc Union Berlin,2526
Oliver Burke,Centre-Forward,29.0,3000000.0,1 Fc Union Berlin,2526
Tim Skarke,Centre-Forward,29.0,1500000.0,1 Fc Union Berlin,2526
Dmytro Bogdanov,Centre-Forward,19.0,800000.0,1 Fc Union Berlin,2526
Robin Zentner,Goalkeeper,31.0,2500000.0,1 Fsv Mainz 05,2526
Lasse Rieß,Goalkeeper,24.0,500000.0,1 Fsv Mainz 05,2526
Daniel Batz,Goalkeeper,35.0,350000.0,1 Fsv Mainz 05,2526
Kacper Potulski,Centre-Back,18.0,18000000.0,1 Fsv Mainz 05,2526
Stefan Posch,Centre-Back,29.0,6000000.0,1 Fsv Mainz 05,2526
Andreas Hanche-Olsen,Centre-Back,29.0,3500000.0,1 Fsv Mainz 05,2526
Dominik Kohr,Centre-Back,32.0,2000000.0,1 Fsv Mainz 05,2526
Danny da Costa,Centre-Back,32.0,1200000.0,1 Fsv Mainz 05,2526
Maxim Leitsch,Centre-Back,28.0,800000.0,1 Fsv Mainz 05,2526
Stefan Bell,Centre-Back,34.0,600000.0,1 Fsv Mainz 05,2526
Maxim Dal,Centre-Back,20.0,150000.0,1 Fsv Mainz 05,2526
Phillipp Mwene,Left-Back,32.0,1500000.0,1 Fsv Mainz 05,2526
Kasey Bos,Left-Back,22.0,400000.0,1 Fsv Mainz 05,2526
Anthony Caci,Right-Back,28.0,7000000.0,1 Fsv Mainz 05,2526
Silvan Widmer,Right-Back,33.0,800000.0,1 Fsv Mainz 05,2526
Kaishu Sano,Defensive Midfield,25.0,40000000.0,1 Fsv Mainz 05,2526
Lennard Maloney,Defensive Midfield,26.0,2500000.0,1 Fsv Mainz 05,2526
Sota Kawasaki,Defensive Midfield,24.0,2000000.0,1 Fsv Mainz 05,2526
Niklas Tauer,Defensive Midfield,25.0,350000.0,1 Fsv Mainz 05,2526
Nadiem Amiri,Central Midfield,29.0,17000000.0,1 Fsv Mainz 05,2526
Daniel Gleiber,Central Midfield,21.0,300000.0,1 Fsv Mainz 05,2526
Nikolas Veratschnig,Right Midfield,23.0,2500000.0,1 Fsv Mainz 05,2526
Paul Nebel,Attacking Midfield,23.0,18000000.0,1 Fsv Mainz 05,2526
Jae-sung Lee,Attacking Midfield,33.0,2000000.0,1 Fsv Mainz 05,2526
Sheraldo Becker,Left Winger,31.0,1500000.0,1 Fsv Mainz 05,2526
Silas,Right Winger,27.0,2000000.0,1 Fsv Mainz 05,2526
Armindo Sieb,Second Striker,23.0,2500000.0,1 Fsv Mainz 05,2526
Benedict Hollerbach,Centre-Forward,25.0,8000000.0,1 Fsv Mainz 05,2526
Nelson Weiper,Centre-Forward,21.0,7000000.0,1 Fsv Mainz 05,2526
Phillip Tietz,Centre-Forward,28.0,4000000.0,1 Fsv Mainz 05,2526
William Bøving,Centre-Forward,23.0,3500000.0,1 Fsv Mainz 05,2526
Mark Flekken,Goalkeeper,33.0,6000000.0,Bayer 04 Leverkusen,2526
Jonas Omlin,Goalkeeper,32.0,800000.0,Bayer 04 Leverkusen,2526
Janis Blaswich,Goalkeeper,35.0,700000.0,Bayer 04 Leverkusen,2526
Niklas Lomb,Goalkeeper,32.0,250000.0,Bayer 04 Leverkusen,2526
Jarell Quansah,Centre-Back,23.0,45000000.0,Bayer 04 Leverkusen,2526
Edmond Tapsoba,Centre-Back,27.0,35000000.0,Bayer 04 Leverkusen,2526
Loïc Badé,Centre-Back,26.0,20000000.0,Bayer 04 Leverkusen,2526
Axel Tape,Centre-Back,18.0,8000000.0,Bayer 04 Leverkusen,2526
Tim Oermann,Centre-Back,22.0,4000000.0,Bayer 04 Leverkusen,2526
Issa Traoré,Centre-Back,18.0,800000.0,Bayer 04 Leverkusen,2526
Alejandro Grimaldo,Left-Back,30.0,20000000.0,Bayer 04 Leverkusen,2526
Arthur,Right-Back,23.0,8000000.0,Bayer 04 Leverkusen,2526
Lucas Vázquez,Right-Back,34.0,1500000.0,Bayer 04 Leverkusen,2526
Equi Fernández,Defensive Midfield,23.0,20000000.0,Bayer 04 Leverkusen,2526
Robert Andrich,Defensive Midfield,31.0,6000000.0,Bayer 04 Leverkusen,2526
Exequiel Palacios,Central Midfield,27.0,25000000.0,Bayer 04 Leverkusen,2526
Aleix García,Central Midfield,28.0,20000000.0,Bayer 04 Leverkusen,2526
Ibrahim Maza,Attacking Midfield,20.0,45000000.0,Bayer 04 Leverkusen,2526
Malik Tillman,Attacking Midfield,24.0,30000000.0,Bayer 04 Leverkusen,2526
Jonas Hofmann,Attacking Midfield,33.0,1500000.0,Bayer 04 Leverkusen,2526
Eliesse Ben Seghir,Left Winger,21.0,20000000.0,Bayer 04 Leverkusen,2526
Martin Terrier,Left Winger,29.0,8000000.0,Bayer 04 Leverkusen,2526
Ernest Poku,Right Winger,22.0,25000000.0,Bayer 04 Leverkusen,2526
