player_name,position,Age,market_value_eur,club,season
Unai Simón,Goalkeeper,28.0,28000000.0,Athletic Bilbao,2425
Julen Agirrezabala,Goalkeeper,24.0,15000000.0,Athletic Bilbao,2425
Álex Padilla,Goalkeeper,21.0,3000000.0,Athletic Bilbao,2425
Oier Gastesi,Goalkeeper,21.0,150000.0,Athletic Bilbao,2425
Dani Vivian,Centre-Back,25.0,40000000.0,Athletic Bilbao,2425
Aitor Paredes,Centre-Back,25.0,22000000.0,Athletic Bilbao,2425
Yeray Álvarez,Centre-Back,30.0,7000000.0,Athletic Bilbao,2425
Unai Núñez,Centre-Back,28.0,3000000.0,Athletic Bilbao,2425
Unai Egiluz,Centre-Back,23.0,600000.0,Athletic Bilbao,2425
Aimar Duñabeitia,Centre-Back,22.0,150000.0,Athletic Bilbao,2425
Ander Izagirre,Centre-Back,22.0,50000.0,Athletic Bilbao,2425
Adama Boiro,Left-Back,23.0,2500000.0,Athletic Bilbao,2425
Yuri Berchiche,Left-Back,35.0,1400000.0,Athletic Bilbao,2425
Andoni Gorosabel,Right-Back,28.0,5000000.0,Athletic Bilbao,2425
Iñigo Lekue,Right-Back,32.0,2000000.0,Athletic Bilbao,2425
Óscar de Marcos,Right-Back,36.0,1500000.0,Athletic Bilbao,2425
Mikel Vesga,Defensive Midfield,32.0,2500000.0,Athletic Bilbao,2425
Mikel Jauregizar,Central Midfield,21.0,30000000.0,Athletic Bilbao,2425
Beñat Prados,Central Midfield,24.0,18000000.0,Athletic Bilbao,2425
Iñigo Ruiz de Galarreta,Central Midfield,31.0,3000000.0,Athletic Bilbao,2425
Ander Herrera,Central Midfield,35.0,800000.0,Athletic Bilbao,2425
Alejandro Rego,Central Midfield,22.0,300000.0,Athletic Bilbao,2425
Oihan Sancet,Attacking Midfield,25.0,60000000.0,Athletic Bilbao,2425
Unai Gómez,Attacking Midfield,22.0,6000000.0,Athletic Bilbao,2425
Peio Canales,Attacking Midfield,20.0,1000000.0,Athletic Bilbao,2425
Nico Williams,Left Winger,22.0,70000000.0,Athletic Bilbao,2425
