player_name,position,Age,market_value_eur,club,season
Unai Simón,Goalkeeper,29.0,22000000.0,Athletic Bilbao,2526
Álex Padilla,Goalkeeper,22.0,3000000.0,Athletic Bilbao,2526
Dani Vivian,Centre-Back,26.0,20000000.0,Athletic Bilbao,2526
Aymeric Laporte,Centre-Back,32.0,8000000.0,Athletic Bilbao,2526
Aitor Paredes,Centre-Back,26.0,7500000.0,Athletic Bilbao,2526
Yeray Álvarez,Centre-Back,31.0,900000.0,Athletic Bilbao,2526
Unai Egiluz,Centre-Back,24.0,400000.0,Athletic Bilbao,2526
Adama Boiro,Left-Back,24.0,2500000.0,Athletic Bilbao,2526
Yuri Berchiche,Left-Back,36.0,1000000.0,Athletic Bilbao,2526
Jesús Areso,Right-Back,26.0,5000000.0,Athletic Bilbao,2526
Andoni Gorosabel,Right-Back,29.0,3000000.0,Athletic Bilbao,2526
Iñigo Lekue,Right-Back,33.0,1000000.0,Athletic Bilbao,2526
Mikel Vesga,Defensive Midfield,33.0,1200000.0,Athletic Bilbao,2526
Mikel Jauregizar,Central Midfield,22.0,30000000.0,Athletic Bilbao,2526
Beñat Prados,Central Midfield,25.0,15000000.0,Athletic Bilbao,2526
Alejandro Rego,Central Midfield,23.0,5000000.0,Athletic Bilbao,2526
Selton Sánchez,Central Midfield,19.0,2800000.0,Athletic Bilbao,2526
Iñigo Ruiz de Galarreta,Central Midfield,32.0,2000000.0,Athletic Bilbao,2526
Oihan Sancet,Attacking Midfield,26.0,25000000.0,Athletic Bilbao,2526
Unai Gómez,Attacking Midfield,23.0,5000000.0,Athletic Bilbao,2526
Nico Williams,Left Winger,23.0,40000000.0,Athletic Bilbao,2526
Álex Berenguer,Left Winger,30.0,4000000.0,Athletic Bilbao,2526
Nico Serrano,Left Winger,23.0,1500000.0,Athletic Bilbao,2526
Iñaki Williams,Right Winger,32.0,8000000.0,Athletic Bilbao,2526
Robert Navarro,Right Winger,24.0,6000000.0,Athletic Bilbao,2526
Gorka Guruzeta,Centre-Forward,29.0,5000000.0,Athletic Bilbao,2526
Maroan Sannadi,Centre-Forward,25.0,3000000.0,Athletic Bilbao,2526
Urko Izeta,Centre-Forward,26.0,1400000.0,Athletic Bilbao,2526
Jan Oblak,Goalkeeper,33.0,15000000.0,Atletico De Madrid,2526
Juan Musso,Goalkeeper,32.0,3000000.0,Atletico De Madrid,2526
Dávid Hancko,Centre-Back,28.0,35000000.0,Atletico De Madrid,2526
Marc Pubill,Centre-Back,23.0,35000000.0,Atletico De Madrid,2526
Robin Le Normand,Centre-Back,29.0,20000000.0,Atletico De Madrid,2526
José María Giménez,Centre-Back,31.0,9000000.0,Atletico De Madrid,2526
Clément Lenglet,Centre-Back,31.0,4000000.0,Atletico De Madrid,2526
