player_name,position,Age,market_value_eur,club,season
Donovan Léon,Goalkeeper,33.0,800000.0,Aj Auxerre,2526
Théo De Percin,Goalkeeper,25.0,400000.0,Aj Auxerre,2526
Tom Negrel,Goalkeeper,23.0,50000.0,Aj Auxerre,2526
Clément Akpa,Centre-Back,24.0,9000000.0,Aj Auxerre,2526
Sinaly Diomandé,Centre-Back,25.0,6000000.0,Aj Auxerre,2526
Bryan Okoh,Centre-Back,23.0,4000000.0,Aj Auxerre,2526
Francisco Sierralta,Centre-Back,29.0,1200000.0,Aj Auxerre,2526
Telli Siwe,Centre-Back,21.0,1000000.0,Aj Auxerre,2526
Gideon Mensah,Left-Back,27.0,4000000.0,Aj Auxerre,2526
Fredrik Oppegård,Left-Back,23.0,1500000.0,Aj Auxerre,2526
Marvin Senaya,Right-Back,25.0,3000000.0,Aj Auxerre,2526
Lamine Sy,Right-Back,23.0,2500000.0,Aj Auxerre,2526
Elisha Owusu,Defensive Midfield,28.0,4000000.0,Aj Auxerre,2526
Oussama El Azzouzi,Defensive Midfield,25.0,1800000.0,Aj Auxerre,2526
Assane Dioussé,Defensive Midfield,28.0,500000.0,Aj Auxerre,2526
Nathan Buayi-Kiala,Defensive Midfield,22.0,50000.0,Aj Auxerre,2526
Kévin Danois,Central Midfield,21.0,20000000.0,Aj Auxerre,2526
Naouirou Ahamada,Central Midfield,24.0,3000000.0,Aj Auxerre,2526
Tidiane Devernois,Central Midfield,18.0,300000.0,Aj Auxerre,2526
Romain Faivre,Attacking Midfield,27.0,4000000.0,Aj Auxerre,2526
Danny Namaso,Left Winger,25.0,6000000.0,Aj Auxerre,2526
Josué Casimir,Right Winger,24.0,3000000.0,Aj Auxerre,2526
Lasso Coulibaly,Right Winger,23.0,800000.0,Aj Auxerre,2526
Lassine Sinayoko,Centre-Forward,26.0,10000000.0,Aj Auxerre,2526
Sékou Mara,Centre-Forward,23.0,4000000.0,Aj Auxerre,2526
Ryan Rodin,Centre-Forward,20.0,300000.0,Aj Auxerre,2526
Hervé Koffi,Goalkeeper,29.0,6000000.0,Angers Sco,2526
Melvin Zinga,Goalkeeper,24.0,300000.0,Angers Sco,2526
Oumar Pona,Goalkeeper,20.0,200000.0,Angers Sco,2526
Ousmane Camara,Centre-Back,23.0,8000000.0,Angers Sco,2526
Emmanuel Biumla,Centre-Back,21.0,2500000.0,Angers Sco,2526
Jordan Lefort,Centre-Back,32.0,1000000.0,Angers Sco,2526
Abdoulaye Bamba,Centre-Back,36.0,200000.0,Angers Sco,2526
Jacques Ekomié,Left-Back,22.0,9000000.0,Angers Sco,2526
Florent Hanin,Left-Back,36.0,200000.0,Angers Sco,2526
Dan Sinaté,Left-Back,20.0,150000.0,Angers Sco,2526
Lilian Raolisoa,Right-Back,26.0,4000000.0,Angers Sco,2526
Marius Louër,Right-Back,19.0,2000000.0,Angers Sco,2526
Carlens Arcus,Right-Back,29.0,1800000.0,Angers Sco,2526
Marius Courcoul,Defensive Midfield,19.0,2500000.0,Angers Sco,2526
Yassin Belkhdim,Central Midfield,24.0,7000000.0,Angers Sco,2526
Branco van den Boomen,Central Midfield,30.0,2500000.0,Angers Sco,2526
Haris Belkebla,Central Midfield,32.0,1800000.0,Angers Sco,2526
Pierrick Capelle,Central Midfield,39.0,150000.0,Angers Sco,2526
Louis Mouton,Attacking Midfield,24.0,4000000.0,Angers Sco,2526
Amine Sbaï,Left Winger,25.0,4000000.0,Angers Sco,2526
Harouna Djibirin,Right Winger,19.0,1500000.0,Angers Sco,2526
Prosper Peter,Centre-Forward,18.0,15000000.0,Angers Sco,2526
Goduine Koyalipou,Centre-Forward,26.0,2500000.0,Angers Sco,2526
Lanroy Machine,Centre-Forward,20.0,1500000.0,Angers Sco,2526
Philipp Köhn,Goalkeeper,28.0,3500000.0,As Monaco,2526
Lukas Hradecky,Goalkeeper,36.0,1500000.0,As Monaco,2526
Jules Stawiecki,Goalkeeper,19.0,150000.0,As Monaco,2526
Yann Lienard,Goalkeeper,23.0,100000.0,As Monaco,2526
Christian Mawissa,Centre-Back,21.0,15000000.0,As Monaco,2526
Thilo Kehrer,Centre-Back,29.0,12000000.0,As Monaco,2526
Mohammed Salisu,Centre-Back,27.0,10000000.0,As Monaco,2526
Wout Faes,Centre-Back,28.0,10000000.0,As Monaco,2526
Eric Dier,Centre-Back,32.0,4000000.0,As Monaco,2526
Caio Henrique,Left-Back,28.0,12000000.0,As Monaco,2526
Kassoum Ouattara,Left-Back,21.0,12000000.0,As Monaco,2526
Vanderson,Right-Back,25.0,18000000.0,As Monaco,2526
Jordan Teze,Right-Back,26.0,15000000.0,As Monaco,2526
