player_name,position,Age,market_value_eur,club,season
Djordje Petrovic,Goalkeeper,26.0,28000000.0,Afc Bournemouth,2526
Christos Mandas,Goalkeeper,24.0,8000000.0,Afc Bournemouth,2526
Fraser Forster,Goalkeeper,38.0,400000.0,Afc Bournemouth,2526
Marcos Senesi,Centre-Back,29.0,25000000.0,Afc Bournemouth,2526
Bafodé Diakité,Centre-Back,25.0,25000000.0,Afc Bournemouth,2526
James Hill,Centre-Back,24.0,23000000.0,Afc Bournemouth,2526
Veljko Milosavljevic,Centre-Back,18.0,20000000.0,Afc Bournemouth,2526
Matai Akinmboni,Centre-Back,19.0,1000000.0,Afc Bournemouth,2526
Adrien Truffert,Left-Back,24.0,30000000.0,Afc Bournemouth,2526
Julio Soler,Left-Back,21.0,8000000.0,Afc Bournemouth,2526
Álex Jiménez,Right-Back,21.0,22000000.0,Afc Bournemouth,2526
Adam Smith,Right-Back,35.0,300000.0,Afc Bournemouth,2526
Tyler Adams,Defensive Midfield,27.0,25000000.0,Afc Bournemouth,2526
Alex Scott,Central Midfield,22.0,50000000.0,Afc Bournemouth,2526
Alex Tóth,Central Midfield,20.0,12000000.0,Afc Bournemouth,2526
Lewis Cook,Central Midfield,29.0,11000000.0,Afc Bournemouth,2526
Ryan Christie,Central Midfield,31.0,8000000.0,Afc Bournemouth,2526
Marcus Tavernier,Attacking Midfield,27.0,25000000.0,Afc Bournemouth,2526
Justin Kluivert,Attacking Midfield,27.0,25000000.0,Afc Bournemouth,2526
Amine Adli,Left Winger,26.0,20000000.0,Afc Bournemouth,2526
Rayan,Right Winger,19.0,60000000.0,Afc Bournemouth,2526
Ben Gannon-Doak,Right Winger,20.0,15000000.0,Afc Bournemouth,2526
David Brooks,Right Winger,28.0,12000000.0,Afc Bournemouth,2526
Junior Kroupi,Centre-Forward,20.0,70000000.0,Afc Bournemouth,2526
Evanilson,Centre-Forward,26.0,35000000.0,Afc Bournemouth,2526
Enes Ünal,Centre-Forward,29.0,7000000.0,Afc Bournemouth,2526
David Raya,Goalkeeper,30.0,30000000.0,Arsenal Fc,2526
Kepa Arrizabalaga,Goalkeeper,31.0,5000000.0,Arsenal Fc,2526
William Saliba,Centre-Back,25.0,100000000.0,Arsenal Fc,2526
Gabriel,Centre-Back,28.0,75000000.0,Arsenal Fc,2526
Piero Hincapié,Centre-Back,24.0,50000000.0,Arsenal Fc,2526
Cristhian Mosquera,Centre-Back,21.0,40000000.0,Arsenal Fc,2526
Riccardo Calafiori,Left-Back,24.0,55000000.0,Arsenal Fc,2526
Jurriën Timber,Right-Back,25.0,70000000.0,Arsenal Fc,2526
Ben White,Right-Back,28.0,30000000.0,Arsenal Fc,2526
Martín Zubimendi,Defensive Midfield,27.0,75000000.0,Arsenal Fc,2526
Christian Nørgaard,Defensive Midfield,32.0,5000000.0,Arsenal Fc,2526
Declan Rice,Central Midfield,27.0,120000000.0,Arsenal Fc,2526
Myles Lewis-Skelly,Central Midfield,19.0,45000000.0,Arsenal Fc,2526
Mikel Merino,Central Midfield,30.0,25000000.0,Arsenal Fc,2526
Martin Ødegaard,Attacking Midfield,27.0,65000000.0,Arsenal Fc,2526
Eberechi Eze,Attacking Midfield,27.0,65000000.0,Arsenal Fc,2526
Gabriel Martinelli,Left Winger,25.0,45000000.0,Arsenal Fc,2526
Leandro Trossard,Left Winger,31.0,18000000.0,Arsenal Fc,2526
Bukayo Saka,Right Winger,24.0,110000000.0,Arsenal Fc,2526
Noni Madueke,Right Winger,24.0,50000000.0,Arsenal Fc,2526
Max Dowman,Right Winger,16.0,30000000.0,Arsenal Fc,2526
Viktor Gyökeres,Centre-Forward,28.0,65000000.0,Arsenal Fc,2526
Kai Havertz,Centre-Forward,27.0,55000000.0,Arsenal Fc,2526
Gabriel Jesus,Centre-Forward,29.0,17000000.0,Arsenal Fc,2526
Emiliano Martínez,Goalkeeper,33.0,12000000.0,Aston Villa,2526
Marco Bizot,Goalkeeper,35.0,1500000.0,Aston Villa,2526
Ezri Konsa,Centre-Back,28.0,40000000.0,Aston Villa,2526
Pau Torres,Centre-Back,29.0,20000000.0,Aston Villa,2526
Victor Lindelöf,Centre-Back,31.0,5000000.0,Aston Villa,2526
Tyrone Mings,Centre-Back,33.0,3000000.0,Aston Villa,2526
Ian Maatsen,Left-Back,24.0,30000000.0,Aston Villa,2526
Lucas Digne,Left-Back,32.0,6000000.0,Aston Villa,2526
Matty Cash,Right-Back,28.0,22000000.0,Aston Villa,2526
Andrés García,Right-Back,23.0,6000000.0,Aston Villa,2526
Amadou Onana,Defensive Midfield,24.0,45000000.0,Aston Villa,2526
Boubacar Kamara,Defensive Midfield,26.0,40000000.0,Aston Villa,2526
Lamare Bogarde,Defensive Midfield,22.0,18000000.0,Aston Villa,2526
Youri Tielemans,Central Midfield,29.0,30000000.0,Aston Villa,2526
