player_name,position,Age,market_value_eur,club,season
Donovan Léon,Goalkeeper,32.0,1000000.0,Aj Auxerre,2425
Théo De Percin,Goalkeeper,24.0,300000.0,Aj Auxerre,2425
Tom Negrel,Goalkeeper,22.0,50000.0,Aj Auxerre,2425
Raphaël Adiceam,Goalkeeper,34.0,50000.0,Aj Auxerre,2425
Sinaly Diomandé,Centre-Back,24.0,5000000.0,Aj Auxerre,2425
Clément Akpa,Centre-Back,23.0,5000000.0,Aj Auxerre,2425
Gabriel Osho,Centre-Back,26.0,3000000.0,Aj Auxerre,2425
Jubal,Centre-Back,31.0,2500000.0,Aj Auxerre,2425
Théo Pellenard,Centre-Back,31.0,700000.0,Aj Auxerre,2425
Saad Agouzoul,Centre-Back,27.0,500000.0,Aj Auxerre,2425
Madiou Keita,Centre-Back,20.0,150000.0,Aj Auxerre,2425
Victor Mayela,Centre-Back,21.0,100000.0,Aj Auxerre,2425
Telli Siwe,Centre-Back,20.0,,Aj Auxerre,2425
Marvyn Muzungu,Centre-Back,17.0,,Aj Auxerre,2425
Alvin Petit Dol,Centre-Back,18.0,,Aj Auxerre,2425
Gideon Mensah,Left-Back,26.0,4000000.0,Aj Auxerre,2425
Fredrik Oppegård,Left-Back,22.0,600000.0,Aj Auxerre,2425
Ki-Jana Hoever,Right-Back,23.0,5000000.0,Aj Auxerre,2425
Paul Joly,Right-Back,25.0,1800000.0,Aj Auxerre,2425
Ange Loïc N'Gatta,Right-Back,21.0,100000.0,Aj Auxerre,2425
Neil Glossoa,Right-Back,20.0,,Aj Auxerre,2425
Elisha Owusu,Defensive Midfield,27.0,3000000.0,Aj Auxerre,2425
Rayan Raveloson,Defensive Midfield,28.0,2000000.0,Aj Auxerre,2425
Assane Dioussé,Defensive Midfield,27.0,700000.0,Aj Auxerre,2425
Nathan Buayi-Kiala,Defensive Midfield,21.0,100000.0,Aj Auxerre,2425
Kévin Danois,Central Midfield,21.0,8000000.0,Aj Auxerre,2425
Han-Noah Massengo,Central Midfield,23.0,5000000.0,Aj Auxerre,2425
Rudy Matondo,Central Midfield,17.0,300000.0,Aj Auxerre,2425
Yoann Cissé,Left Midfield,20.0,,Aj Auxerre,2425
Ben Viadere,Attacking Midfield,19.0,,Aj Auxerre,2425
Hamed Traoré,Left Winger,25.0,20000000.0,Aj Auxerre,2425
Aristide Zossou,Left Winger,20.0,100000.0,Aj Auxerre,2425
Gaëtan Perrin,Right Winger,29.0,8000000.0,Aj Auxerre,2425
Lasso Coulibaly,Right Winger,22.0,1200000.0,Aj Auxerre,2425
Eros Maddy,Right Winger,24.0,150000.0,Aj Auxerre,2425
Lassine Sinayoko,Centre-Forward,25.0,4000000.0,Aj Auxerre,2425
Theo Bair,Centre-Forward,25.0,1800000.0,Aj Auxerre,2425
Ado Onaiwu,Centre-Forward,29.0,1500000.0,Aj Auxerre,2425
Florian Ayé,Centre-Forward,28.0,1200000.0,Aj Auxerre,2425
Yahia Fofana,Goalkeeper,24.0,7000000.0,Angers Sco,2425
Melvin Zinga,Goalkeeper,23.0,300000.0,Angers Sco,2425
Oumar Pona,Goalkeeper,19.0,,Angers Sco,2425
Emmanuel Biumla,Centre-Back,20.0,4000000.0,Angers Sco,2425
Jordan Lefort,Centre-Back,31.0,1500000.0,Angers Sco,2425
Cédric Hountondji,Centre-Back,31.0,1200000.0,Angers Sco,2425
Ousmane Camara,Centre-Back,22.0,400000.0,Angers Sco,2425
Abdoulaye Bamba,Centre-Back,35.0,300000.0,Angers Sco,2425
Yacine Gaya,Centre-Back,20.0,,Angers Sco,2425
Jacques Ekomié,Left-Back,21.0,800000.0,Angers Sco,2425
Florent Hanin,Left-Back,35.0,300000.0,Angers Sco,2425
Carlens Arcus,Right-Back,29.0,1800000.0,Angers Sco,2425
Lilian Raolisoa,Right-Back,25.0,800000.0,Angers Sco,2425
Halid Sabanovic,Right-Back,25.0,150000.0,Angers Sco,2425
Marius Louër,Right-Back,18.0,,Angers Sco,2425
Jean-Eudes Aholou,Defensive Midfield,31.0,2000000.0,Angers Sco,2425
Zinédine Ould Khaled,Defensive Midfield,25.0,400000.0,Angers Sco,2425
Marius Courcoul,Defensive Midfield,18.0,300000.0,Angers Sco,2425
Enzo Caumont,Defensive Midfield,21.0,50000.0,Angers Sco,2425
Haris Belkebla,Central Midfield,31.0,2000000.0,Angers Sco,2425
Yassin Belkhdim,Central Midfield,23.0,1000000.0,Angers Sco,2425
Joseph Lopy,Central Midfield,33.0,300000.0,Angers Sco,2425
Pierrick Capelle,Central Midfield,38.0,200000.0,Angers Sco,2425
Himad Abdelli,Attacking Midfield,25.0,7000000.0,Angers Sco,2425
Amine Moussaoui,Attacking Midfield,18.0,,Angers Sco,2425
Farid El Melali,Left Winger,27.0,3500000.0,Angers Sco,2425
Jim Allevinah,Right Winger,30.0,1500000.0,Angers Sco,2425
Zinedine Ferhat,Right Winger,32.0,1000000.0,Angers Sco,2425
Justin Kalumba,Right Winger,20.0,400000.0,Angers Sco,2425
Willsem Boussaid,Right Winger,19.0,,Angers Sco,2425
Estéban Lepaul,Centre-Forward,25.0,7000000.0,Angers Sco,2425
Bamba Dieng,Centre-Forward,25.0,3000000.0,Angers Sco,2425
