#,Age,club,season,position,player_name,market_value_eur
32,24.0,Arsenal,2122,Goalkeeper,Aaron Ramsdale,28000000.0
1,30.0,Arsenal,2122,Goalkeeper,Bernd Leno,9000000.0
33,20.0,Arsenal,2122,Goalkeeper,Arthur Okonkwo,1500000.0
49,20.0,Arsenal,2122,Goalkeeper,Karl Hein,800000.0
6,24.0,Arsenal,2122,Centre-Back,Gabriel,38000000.0
16,26.0,Arsenal,2122,Centre-Back,Rob Holding,10000000.0
21,27.0,Arsenal,2122,Centre-Back,Calum Chambers,10000000.0
22,28.0,Arsenal,2122,Centre-Back,Pablo Marí,5000000.0
31,29.0,Arsenal,2122,Centre-Back,Sead Kolasinac,3000000.0
54,19.0,Arsenal,2122,Centre-Back,Alex Kirk,
75,18.0,Arsenal,2122,Centre-Back,Zach Awe,
3,25.0,Arsenal,2122,Left-Back,Kieran Tierney,32000000.0
20,22.0,Arsenal,2122,Left-Back,Nuno Tavares,15000000.0
61,19.0,Arsenal,2122,Left-Back,Mazeed Ogungbo,
4,24.0,Arsenal,2122,Right-Back,Ben White,40000000.0
18,23.0,Arsenal,2122,Right-Back,Takehiro Tomiyasu,25000000.0
2,27.0,Arsenal,2122,Right-Back,Héctor Bellerín,20000000.0
15,24.0,Arsenal,2122,Right-Back,Ainsley Maitland-Niles,10000000.0
17,30.0,Arsenal,2122,Right-Back,Cédric Soares,6000000.0
37,20.0,Arsenal,2122,Right-Back,Ryan Alebiosu,200000.0
69,21.0,Arsenal,2122,Right-Back,Zak Swanson,150000.0
5,29.0,Arsenal,2122,Defensive Midfield,Thomas Partey,38000000.0
34,29.0,Arsenal,2122,Defensive Midfield,Granit Xhaka,20000000.0
25,29.0,Arsenal,2122,Defensive Midfield,Mohamed Elneny,11000000.0
23,22.0,Arsenal,2122,Central Midfield,Albert Sambi Lokonga,14000000.0
87,18.0,Arsenal,2122,Central Midfield,Charlie Patiño,2000000.0
38,19.0,Arsenal,2122,Central Midfield,Miguel Azeez,800000.0
