#,Player,Age,Market value,club,season
32,Aaron Ramsdale Goalkeeper,24.0,€28.00m,Arsenal,2122
1,Bernd Leno Goalkeeper,30.0,€9.00m,Arsenal,2122
33,Arthur Okonkwo Goalkeeper,20.0,€1.50m,Arsenal,2122
49,Karl Hein Goalkeeper,20.0,€800k,Arsenal,2122
6,Gabriel Centre-Back,24.0,€38.00m,Arsenal,2122
16,Rob Holding Centre-Back,26.0,€10.00m,Arsenal,2122
21,Calum Chambers Centre-Back,27.0,€10.00m,Arsenal,2122
22,Pablo Marí  Centre-Back,28.0,€5.00m,Arsenal,2122
31,Sead Kolasinac Centre-Back,29.0,€3.00m,Arsenal,2122
54,Alex Kirk Centre-Back,19.0,-,Arsenal,2122
75,Zach Awe Centre-Back,18.0,-,Arsenal,2122
3,Kieran Tierney Left-Back,25.0,€32.00m,Arsenal,2122
20,Nuno Tavares Left-Back,22.0,€15.00m,Arsenal,2122
61,Mazeed Ogungbo Left-Back,19.0,-,Arsenal,2122
4,Ben White Right-Back,24.0,€40.00m,Arsenal,2122
18,Takehiro Tomiyasu Right-Back,23.0,€25.00m,Arsenal,2122
2,Héctor Bellerín Right-Back,27.0,€20.00m,Arsenal,2122
15,Ainsley Maitland-Niles Right-Back,24.0,€10.00m,Arsenal,2122
17,Cédric Soares Right-Back,30.0,€6.00m,Arsenal,2122
37,Ryan Alebiosu Right-Back,20.0,€200k,Arsenal,2122
69,Zak Swanson Right-Back,21.0,€150k,Arsenal,2122
5,Thomas Partey Defensive Midfield,29.0,€38.00m,Arsenal,2122
34,Granit Xhaka Defensive Midfield,29.0,€20.00m,Arsenal,2122
25,Mohamed Elneny Defensive Midfield,29.0,€11.00m,Arsenal,2122
23,Albert Sambi Lokonga Central Midfield,22.0,€14.00m,Arsenal,2122
87,Charlie Patiño Central Midfield,18.0,€2.00m,Arsenal,2122
38,Miguel Azeez Central Midfield,19.0,€800k,Arsenal,2122
65,Salah Oulad Central Midfield,18.0,-,Arsenal,2122
8,Martin Ødegaard Attacking Midfield,23.0,€45.00m,Arsenal,2122
10,Emile Smith Rowe Attacking Midfield,21.0,€40.00m,Arsenal,2122
82,Omari Hutchinson Attacking Midfield,18.0,-,Arsenal,2122
11,Gabriel Martinelli Left Winger,21.0,€40.00m,Arsenal,2122
24,Reiss Nelson Left Winger,22.0,€6.50m,Arsenal,2122
78,Marcelo Flores Left Winger,18.0,€1.50m,Arsenal,2122
7,Bukayo Saka Right Winger,20.0,€65.00m,Arsenal,2122
19,Nicolas Pépé Right Winger,27.0,€25.00m,Arsenal,2122
14,Eddie Nketiah Centre-Forward,23.0,€16.00m,Arsenal,2122
-,Pierre-Emerick Aubameyang Centre-Forward,33.0,€15.00m,Arsenal,2122
9,Alexandre Lacazette Centre-Forward,31.0,€15.00m,Arsenal,2122
26,Folarin Balogun Centre-Forward,20.0,€4.00m,Arsenal,2122
